title,type,source,episodes,status,rating,background,producer,studio,duration_min,aired_from_year,genre
Inu x Boku SS,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand.",Aniplex,David Production,24,2012,Comedy
Seto no Hanayome,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Gonzo,24,2007,Comedy
Shugo Chara!! Doki,TV,Manga,51,Finished Airing,PG - Children,,TV Tokyo,Satelight,24,2008,Comedy
Princess Tutu,TV,Original,38,Finished Airing,PG-13 - Teens 13 or older,"Princess Tutu aired in two parts. The first part included 13 25-minute-long episodes, while the second part consisted of 24 12-minute-long episodes with a 25-minute-long final episode for a total of 25 episodes.",Memory-Tech,Hal Film Maker,16,2002,Comedy
Bakuman. 3rd Season,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,NHK,J.C.Staff,24,2012,Comedy
Yume-iro Pätissiðre,TV,Manga,50,Finished Airing,G - All Ages,,Yomiuri Telecasting,"Studio Pierrot, Studio Hibari",24,2009,Kids
Ultra Maniac,TV,Manga,26,Finished Airing,G - All Ages,,WAO World,Production Reed,24,2003,Magic
Shakugan no Shana II (Second),TV,Light novel,24,Finished Airing,PG-13 - Teens 13 or older,,Geneon Universal Entertainment,J.C.Staff,24,2007,Action
Nodame Cantabile: Paris-hen,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,Fuji TV,J.C.Staff,23,2008,Music
Ouran Koukou Host Club,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,VAP,Bones,23,2006,Comedy
Junjou Romantica 2,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,Studio Deen,24,2008,Comedy
Kaichou wa Maid-sama!,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Geneon Universal Entertainment,J.C.Staff,24,2010,Comedy
Sekaiichi Hatsukoi 2,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"An event to show ep.1 of season 2 (along with 1st OVA) happening on September 24, 2011.æ Regular TV airing started on October 8, 2011.",Lantis,Studio Deen,24,2011,Comedy
Tonari no Kaibutsu-kun,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Brain&#039;s Base,24,2012,Slice of Life
Bleach,TV,Manga,366,Finished Airing,PG-13 - Teens 13 or older,"Bleach adapts the first 54 volumes of Tite Kubo&#039;s manga series of the same name. In addition, 4 anime-original arcs were broadcast in-between and during the adaptations of original arcs of the manga.",TV Tokyo,Studio Pierrot,24,2004,Action
Chobits,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,"The original episodes 9 and 18 are ""recap"" episodes, summarizing previous events. These episodes were re-numbered for the DVD release as episodes 8.5 and 16.5, respectively, and removed from their original sequence by being published together on the final DVD.(Source: Wikipedia)",TBS,Madhouse,24,2002,Sci-Fi
Kimi ni Todoke,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,VAP,Production I.G,22,2009,Slice of Life
Naruto: Shippuuden,TV,Manga,500,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Studio Pierrot,23,2007,Action
Ranma _,TV,Manga,161,Finished Airing,R+ - Mild Nudity,The 2011 live-action adaptation is produced by Nippon Television and is directed by Ryo Nishimura.,Shogakukan Productions,Studio Deen,24,1989,Slice of Life
Toradora!,TV,Light novel,25,Finished Airing,PG-13 - Teens 13 or older,"Toradora! was selected as a recommended work by the awards jury of the 13th Japan Media Arts Festival in 2009.The light novel was also adapted into video games for PlayStation Portable, published by Namco Bandai Games in 2009.",Genco,J.C.Staff,24,2008,Slice of Life
Bakuman. 2nd Season,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,NHK,J.C.Staff,24,2011,Comedy
Gakuen Alice,TV,Manga,26,Finished Airing,G - All Ages,,Aniplex,Group TAC,25,2004,Comedy
Skip Beat!,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,"Crunchyroll officially streamed the anime with English subtitles.Aside from the manga and anime there are a series of novels written by Ayuna Fujisaki. There is also a Taiwanese drama named ""Hua Li De Tiao Zhan"" (Extravagant Challenge) inspired by the series, and a total of three drama CDs that cover different parts of the story.æ",Sotsu,Hal Film Maker,24,2008,Comedy
Chihayafuru 2,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,VAP,Madhouse,22,2013,Drama
Shounen Onmyouji,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Studio Deen,23,2006,Action
Chihayafuru,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,"Chihayafuru is the anime adaptation of the manga with the same name written and illustrated by Yuki Suetsugu and serialised in the magazine Be Love. Animax Asia released the anime with English subtitles in 2013. The anime will get two live action film adaptations, both scheduled to be released in 2016. The manga won the second Manga Taishou award, and the 35th Kodansha Manga Award in the shoujo category. Chihayafuru has become so popular that it boosted interest in competitive karuta. The manga has sold over 4.5 million copies and has been praised for combining elements of sports and literature.",VAP,Madhouse,22,2011,Drama
Itazura na Kiss,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,"Episode 25 was first aired back-to-back with episode 24 on CBC TV on September 25th, prior to its first airing on TBS (September 27th).",Bandai Visual,TMS Entertainment,24,2008,Comedy
Beelzebub,TV,Manga,60,Finished Airing,PG-13 - Teens 13 or older,,Studio Pierrot,Pierrot Plus,24,2011,Action
Hanasakeru Seishounen,TV,Manga,39,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,24,2009,Drama
