Location,Month and Year,Date,Temperature,Humidity ,Precipitation
"Worcester, MA",Jan-19,1,41.09,90,0
"Worcester, MA",Jan-19,2,38.75,88,0.1
"Worcester, MA",Jan-19,3,31.5,85,0
"Worcester, MA",Jan-19,4,32.41,93,0
"Worcester, MA",Jan-19,5,35.44,85,0
"Worcester, MA",Jan-19,6,37.4,89,0.3
"Worcester, MA",Jan-19,7,36.7,82,0
"Worcester, MA",Jan-19,8,37.08,81,0
"Worcester, MA",Jan-19,9,38.59,84,0
"Worcester, MA",Jan-19,10,32.7,92,0
"Worcester, MA",Jan-19,11,31.32,82,0
"Worcester, MA",Jan-19,12,35.17,84,0.3
"Worcester, MA",Jan-19,13,40.87,78,0.4
"Worcester, MA",Jan-19,14,44.85,89,0.1
"Worcester, MA",Jan-19,15,39.07,87,0
"Worcester, MA",Jan-19,16,32.65,76,0
"Worcester, MA",Jan-19,17,44.89,64,0
"Worcester, MA",Jan-19,18,37.08,82,0.5
"Worcester, MA",Jan-19,19,32.25,73,0
"Worcester, MA",Jan-19,20,31.15,76,0
"Worcester, MA",Jan-19,21,34.23,70,0
"Worcester, MA",Jan-19,22,29.53,81,0
"Worcester, MA",Jan-19,23,30.96,64,0
"Worcester, MA",Jan-19,24,30.85,88,0
"Worcester, MA",Jan-19,25,28.72,75,0
"Worcester, MA",Jan-19,26,32.59,76,0
"Worcester, MA",Jan-19,27,39.92,80,0
"Worcester, MA",Jan-19,28,37.06,81,0
"Worcester, MA",Jan-19,29,35.55,83,0
"Worcester, MA",Jan-19,30,33.08,77,0
"Worcester, MA",Jan-19,31,34.05,65,0
"Worcester, MA",Feb-19,1,39.94,80,0
"Worcester, MA",Feb-19,2,42.06,75,0
"Worcester, MA",Feb-19,3,38.34,85,0
"Worcester, MA",Feb-19,4,30.34,94,0
"Worcester, MA",Feb-19,5,32.95,78,0
"Worcester, MA",Feb-19,6,34.02,64,0
"Worcester, MA",Feb-19,7,35.51,41,0
"Worcester, MA",Feb-19,8,37.22,86,0
"Worcester, MA",Feb-19,9,42.04,67,0
"Worcester, MA",Feb-19,10,48,73,0
"Worcester, MA",Feb-19,11,39.11,82,0
"Worcester, MA",Feb-19,12,36.99,87,0
"Worcester, MA",Feb-19,13,33.93,68,0
"Worcester, MA",Feb-19,14,33.96,87,0
"Worcester, MA",Feb-19,15,36.61,69,0
